frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,class
1,,20,4278,0,1,0,0,128,6,10.2.65.98,49.44.199.171,50723,443,4238,1,0,0,0,0,0,1,1,0,0,0,1026,0.000000000,normal
1,,20,79,0,1,0,0,128,6,10.2.65.98,49.44.199.171,50723,443,39,1,0,0,0,0,0,1,1,0,0,0,1026,0.000146000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,1461,0,0,0,0,0,1,0,0,0,0,4096,0.031147000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,2921,0,0,0,0,0,1,0,0,0,0,4096,0.000000000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,4239,0,0,0,0,0,1,0,0,0,0,4096,0.000000000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,4278,0,0,0,0,0,1,0,0,0,0,4096,0.000000000,normal
1,,20,79,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,39,4278,0,0,0,0,0,1,1,0,0,0,4096,0.000000000,normal
1,,20,40,0,1,0,0,128,6,10.2.65.98,49.44.199.171,50723,443,0,40,0,0,0,0,0,1,0,0,0,0,1026,0.048072000,normal
1,,20,384,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,344,4278,0,0,0,0,0,1,1,0,0,0,4096,0.336542000,normal
1,,20,71,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,31,4278,0,0,0,0,0,1,1,0,0,0,4096,0.014868000,normal
1,,20,40,0,1,0,0,128,6,10.2.65.98,49.44.199.171,50723,443,0,415,0,0,0,0,0,1,0,0,0,0,1024,0.000062000,normal
1,,20,4125,0,1,0,0,128,6,10.2.65.98,49.44.199.171,50723,443,4085,415,0,0,0,0,0,1,1,0,0,0,1024,0.637067000,normal
1,,20,631,0,1,0,0,128,6,10.2.65.98,49.44.199.171,50723,443,591,415,0,0,0,0,0,1,1,0,0,0,1024,0.000230000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,5738,0,0,0,0,0,1,0,0,0,0,4096,0.027131000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,7198,0,0,0,0,0,1,0,0,0,0,4096,0.000000000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,8363,0,0,0,0,0,1,0,0,0,0,4096,0.000000000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,8954,0,0,0,0,0,1,0,0,0,0,4096,0.000000000,normal
1,,20,379,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,339,8954,0,0,0,0,0,1,1,0,0,0,4096,0.345282000,normal
1,,20,71,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,31,8954,0,0,0,0,0,1,1,0,0,0,4096,0.014202000,normal
1,,20,40,0,1,0,0,128,6,10.2.65.98,49.44.199.171,50723,443,0,785,0,0,0,0,0,1,0,0,0,0,1023,0.000048000,normal
1,,20,4278,0,1,0,0,128,6,10.2.65.98,49.44.199.171,50723,443,4238,785,0,0,0,0,0,1,1,0,0,0,1023,5.147343000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,10414,0,0,0,0,0,1,0,0,0,0,4096,0.028903000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,11874,0,0,0,0,0,1,0,0,0,0,4096,0.000000000,normal
1,,20,40,0,1,0,0,56,6,49.44.199.171,10.2.65.98,443,50723,0,13192,0,0,0,0,0,1,0,0,0,0,4096,0.000000000,normal
